id,marker,x,y,z
0,0,0.0000000000000000,0.5257311121191340,0.8506508083520400
1,0,0.5257311121191340,0.8506508083520400,0.0000000000000000
2,0,0.8506508083520400,0.0000000000000000,0.5257311121191340
3,0,-0.5257311121191340,0.8506508083520400,0.0000000000000000
4,0,0.8506508083520400,0.0000000000000000,-0.5257311121191340
5,0,0.0000000000000000,-0.5257311121191340,0.8506508083520400
6,0,-0.8506508083520400,0.0000000000000000,0.5257311121191340
7,0,0.0000000000000000,0.5257311121191340,-0.8506508083520400
8,0,0.5257311121191340,-0.8506508083520400,0.0000000000000000
9,0,-0.8506508083520400,0.0000000000000000,-0.5257311121191340
10,0,0.0000000000000000,-0.5257311121191340,-0.8506508083520400
11,0,-0.5257311121191340,-0.8506508083520400,0.0000000000000000
